accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_age_days,days_since_last_review,avg_review_score,season,distance_to_center_km,accommodates_bedrooms,min_nights_reviews,Has_Wifi,Has_Kitchen,Has_Heating,Has_TV,Has_Essentials,Has_Hair_Dryer,Has_Iron,Has_Free_Parking,Has_Hangers,Has_Laptop_Friendly_Workspace,host_has_profile_pic_binary,host_identity_verified_binary,host_is_superhost,instant_bookable,room_Private room,room_Shared room,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,price
7,1.0,2.0,4.0,90,400,24,5.0,4992,756.0,4.918571428571428,1.0,4.287007313788167,14.0,2160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,149.0
2,1.0,1.0,1.0,90,1124,157,4.89,4884,55.0,4.880000000000001,1.0,0.7865400510129682,2.0,14130,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,182.0
2,1.0,2.0,1.0,90,1125,46,4.86,5008,1017.0,4.822857142857144,3.0,0.7291893230722333,4.0,4140,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.0
1,1.0,1.0,1.0,90,125,265,4.75,5586,251.0,4.788571428571429,3.0,7.277366218456248,1.0,23850,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,70.0
4,1.0,2.0,4.0,3,1125,194,4.85,4800,8.0,4.801428571428572,2.0,1.1747391372198603,8.0,582,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,269.0
2,1.0,1.0,1.0,90,1125,56,4.69,5008,304.0,4.675714285714286,2.0,8.919857037642677,2.0,5040,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,171.0
2,1.0,1.0,1.0,2,1125,47,4.47,5008,295.0,4.472857142857142,3.0,8.810475623750195,2.0,94,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,171.0
4,1.0,2.0,2.0,2,30,37,4.68,4797,99.0,4.76,1.0,4.7861694223238676,8.0,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223.0
2,1.5,1.0,1.0,3,1125,245,4.86,4776,14.0,4.842857142857142,2.0,1.0907142511383359,2.0,735,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,395.0
3,1.0,1.0,3.0,91,365,170,4.91,4764,23.0,4.898571428571429,2.0,0.29615305559474053,3.0,15470,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118.0
8,2.0,4.0,4.0,4,180,43,4.76,4763,198.0,4.772857142857142,0.0,4.8616809705433,32.0,172,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,550.0
4,1.0,1.0,1.0,30,1125,6,5.0,4758,39.0,4.761428571428572,1.0,0.6098665294540984,4.0,180,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178.0
6,1.0,3.0,3.0,1,45,123,4.93,4741,28.0,4.8914285714285715,1.0,4.976050898408335,18.0,123,0,0,0,0,0,0,0,0,0,0,1,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,500.0
2,1.0,1.0,1.0,90,1125,193,4.89,5163,967.0,4.897142857142858,3.0,4.24281338234754,2.0,17370,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.0
6,2.0,3.0,3.0,2,365,70,4.93,4699,190.0,4.898571428571429,0.0,1.003793233057585,18.0,140,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,831.0
2,1.0,1.0,2.0,2,7,228,4.78,4697,10.0,4.822857142857143,2.0,4.707737700830664,2.0,456,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,328.0
4,2.0,2.0,3.0,90,1125,77,4.75,4726,145.0,4.795714285714285,0.0,1.8303829231273445,8.0,6930,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,148.0
1,1.0,1.0,1.0,90,190,22,4.73,4763,772.0,4.804285714285713,1.0,5.035410666587473,1.0,1980,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55.0
2,1.0,1.0,1.0,90,120,184,4.81,4683,166.0,4.811428571428571,0.0,0.9391422361348789,2.0,16560,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,117.0
2,1.0,1.0,1.0,91,120,99,4.78,4640,296.0,4.827142857142857,3.0,1.1400858653364363,2.0,9009,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,135.0
2,1.0,1.0,2.0,90,365,14,4.93,4627,24.0,4.9799999999999995,1.0,5.096423428464477,2.0,1260,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,153.0
2,1.0,0.0,1.0,30,1125,13,5.0,4758,89.0,4.822857142857144,1.0,0.4993250089117451,0.0,390,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,219.0
6,2.0,2.0,3.0,30,1125,13,4.77,4758,50.0,4.715714285714285,1.0,0.4993250089117451,12.0,390,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,224.0
2,1.0,1.0,1.0,90,1125,26,4.64,4582,53.0,4.771428571428571,1.0,2.7422973449247268,2.0,2340,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,116.0
5,1.5,2.0,2.0,5,30,36,4.75,4536,318.0,4.775714285714286,2.0,3.361495680292292,10.0,180,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,375.0
1,1.0,1.0,1.0,2,365,2,5.0,4533,29.0,5.0,1.0,4.01025375748477,1.0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178.0
2,1.0,1.0,1.0,3,60,316,4.92,4530,7.0,4.920000000000001,2.0,6.061827437066539,2.0,948,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150.0
2,1.0,,2.0,90,1125,10,4.2,5008,4285.0,4.297142857142857,3.0,0.7063697406580368,,900,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,455.0
2,1.0,1.0,1.0,1,125,189,4.87,4773,5.0,4.888571428571429,2.0,4.31691540725313,2.0,189,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,113.0
8,2.0,4.0,6.0,5,60,52,4.86,4487,92.0,4.845714285714286,1.0,3.7028674943001967,32.0,260,0,0,0,0,0,0,0,0,0,0,1,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,780.0
2,1.0,1.0,1.0,90,360,61,4.55,5626,907.0,4.595714285714286,0.0,0.6906753445271211,2.0,5490,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.0
4,1.0,2.0,2.0,3,1125,385,4.73,4429,31.0,4.795714285714285,1.0,2.3927901844087396,8.0,1155,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,189.0
2,1.0,1.0,1.0,3,10,93,4.91,4423,190.0,4.921428571428572,0.0,5.452809443515987,2.0,279,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150.0
4,2.0,2.0,2.0,5,1125,130,4.86,4402,295.0,4.87,3.0,5.186061981979989,8.0,650,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,199.0
5,1.5,3.0,3.0,7,26,16,4.75,5136,800.0,4.867142857142857,1.0,4.40349395880465,15.0,112,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,439.0
4,1.0,2.0,2.0,3,60,266,4.87,4394,18.0,4.890000000000001,2.0,4.116685601723906,8.0,798,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,222.0
6,2.5,3.0,3.0,90,1125,18,4.94,4866,295.0,4.948571428571428,3.0,4.208327035874357,18.0,1620,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,417.0
4,1.0,1.0,1.0,90,365,3,5.0,5008,2193.0,5.0,2.0,0.40033485653276196,4.0,270,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,389.0
4,1.0,1.0,2.0,1,30,678,4.88,5999,23.0,4.915714285714286,2.0,0.255598515436292,4.0,678,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,321.0
4,1.0,0.0,3.0,1,89,215,4.87,4369,9.0,4.890000000000001,2.0,4.097051356423166,0.0,215,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150.0
2,1.0,1.0,1.0,90,360,73,4.49,5626,25.0,4.651428571428572,1.0,0.7243574509984421,2.0,6570,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.0
2,1.0,1.0,1.0,3,150,216,4.9,4355,19.0,4.888571428571429,2.0,0.8083898712411811,2.0,648,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,297.0
4,1.5,3.0,3.0,7,180,6,5.0,4976,16.0,4.881428571428572,2.0,4.168734473565172,12.0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,153.0
2,1.0,1.0,1.0,4,1125,415,4.76,5695,20.0,4.837142857142857,2.0,4.348819780293127,2.0,1660,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,100.0
4,2.0,2.0,3.0,90,730,124,4.97,4300,1933.0,4.954285714285715,1.0,0.6655392177528706,8.0,11160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,175.0
4,1.0,2.0,2.0,3,14,379,4.67,4296,20.0,4.775714285714286,2.0,3.886100579054026,8.0,1137,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,99.0
2,1.5,1.0,1.0,90,1125,7,5.0,4288,481.0,4.938571428571429,0.0,0.7960259187193326,2.0,630,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,342.0
2,1.0,1.0,3.0,1,90,15,5.0,3382,12.0,4.884285714285714,2.0,0.9284511466592509,2.0,15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,309.0
4,1.0,2.0,2.0,2,60,398,4.92,4275,21.0,4.934285714285714,2.0,4.199094476354286,8.0,796,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,302.0
5,1.0,1.0,4.0,1,1125,198,4.84,4270,16.0,4.811428571428571,2.0,1.173109451812666,5.0,198,0,0,0,0,0,0,0,0,0,0,1,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,210.0
2,1.0,1.0,1.0,2,1125,284,4.9,4248,39.0,4.914285714285714,1.0,2.5375789037242162,2.0,568,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,180.0
4,1.0,2.0,2.0,3,107,53,4.81,5040,37.0,4.784285714285715,1.0,2.367976088663252,8.0,159,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,198.0
